Asset Name,Asset Type,Location,Current Category,Suggested Primary Pillar,Suggested Secondary Pillar,Notes
Homepage / Intelligence Terminal,Homepage,/index.html,None,N/A — Navigation Hub,N/A,Contains 5 homepage section IDs: intelligence / live-insights / function-lenses / readiness / tools. No category labels or data attributes. Five pillar teasers are embedded as plain text but not tagged.
EU AI Act Readiness Assessment,Assessment Tool,/eu-ai-act.html,None,Governance / Trust & Risk,N/A,Interactive self-assessment. No category tag in markup. URL consistent with cleanUrls. Cross-linked from homepage (×5 CTAs).
DORA AI Exposure Assessment,Assessment Tool,/dora.html,None,Governance / Trust & Risk,AI-Native Operating Model,Interactive self-assessment for DORA compliance. No category tag. Not cross-linked from homepage nav — accessible via radar.html only.
NIS2 Readiness Lens,Assessment Tool,/nis2.html,None,Governance / Trust & Risk,AI-Native Operating Model,Interactive assessment. No category tag. Only linked via radar.html nav. Not on homepage nav.
AI Governance Exposure Radar,Radar / Visualization Tool,/radar.html,None,Governance / Trust & Risk,N/A,Cross-navigation hub for all three assessments (EU AI Act / DORA / NIS2). No data-category attribute. Not linked from main homepage nav.
EU AI Act Navigator,Classification Tool,/eu-ai-act-tiers.html,None,Governance / Trust & Risk,N/A,Title: "EU AI Act Navigator". Overlaps with /eu-ai-act-reference (both cover EU AI Act tiers). Navigation inconsistency — two pages serving similar tier classification purposes.
EU AI Act — Risk Tier Reference,Reference Article,/eu-ai-act-reference.html,None,Governance / Trust & Risk,N/A,Title: "EU AI Act — Risk Tier Reference". Overlaps with /eu-ai-act-tiers. No meta description. Cross-linked from eu-ai-act-enforcement-risk.html only — not in main nav. Potential orphan.
How the EU AI Act Will Actually Be Policed,Article / Long-form Content,/eu-ai-act-enforcement.html,None,Governance / Trust & Risk,N/A,The only article-format content asset with substantive h2 sections. Title clear and specific. No meta description. Not linked from homepage. No category/tag markup.
EU AI Act — Enforcement & Risk Reference,Reference Article,/eu-ai-act-enforcement-risk.html,None,Governance / Trust & Risk,N/A,Title: "EU AI Act — Enforcement & Risk Reference". Distinct from enforcement article above. Contains cross-links to /eu-ai-act-tiers and /radar. No meta description. Not in main nav.
Insights Listing Page,Content Hub,/insights/index.html,None,N/A — Aggregator,N/A,Dynamic listing from Supabase. No static category filters visible. Published insights have sectors/regions fields (from DB schema) but no pillar field. Title inconsistency: "Insights" only.
Insight Detail Page,Content Template,/insights/detail.html,None,N/A — Template,N/A,Title placeholder "Insight — The AI Readyist". Fully dynamic (JS renders title/body). H1 comes from DB row. No pillar/category metadata rendered in UI.
Research Draft — Agentic AI Adoption in UK Financial Services,Agent Research Draft,/agent/output/2026-06-10T18-46_agentic-ai-adoption-in-uk-financial-services.md,Sector: BFSI / Region: UK&Ireland,AI Cost Intelligence,AI-Native Operating Model,YAML frontmatter: topic / sectors / regions / status (DRAFT). Status: unpublished. Unique draft — not a duplicate. No pillar field in frontmatter.
Research Draft — AI Governance (Run 1 of 8),Agent Research Draft,/agent/output/2026-06-10T19-50_ai-governance-regulation-enterprise-accountability.md,Sector: All / Region: UK&Ireland + Europe + Africa,Governance / Trust & Risk,N/A,8 drafts exist on identical topic (ai-governance-regulation-enterprise-accountability). Likely repeated test runs of default.json config. 7 of these 8 are duplicates. Only the most recent should be reviewed.
Research Draft — AI Governance (Run 2 of 8),Agent Research Draft,/agent/output/2026-06-10T21-44_ai-governance-regulation-enterprise-accountability.md,Sector: All / Region: UK&Ireland + Europe + Africa,Governance / Trust & Risk,N/A,Duplicate run — same topic/config as Run 1. Recommend archiving.
Research Draft — AI Governance (Run 3 of 8),Agent Research Draft,/agent/output/2026-06-10T21-54_ai-governance-regulation-enterprise-accountability.md,Sector: All / Region: UK&Ireland + Europe + Africa,Governance / Trust & Risk,N/A,Duplicate run. Recommend archiving.
Research Draft — AI Governance (Run 4 of 8),Agent Research Draft,/agent/output/2026-06-11T12-28_ai-governance-regulation-enterprise-accountability.md,Sector: All / Region: UK&Ireland + Europe + Africa,Governance / Trust & Risk,N/A,Duplicate run. Recommend archiving.
Research Draft — AI Governance (Run 5 of 8),Agent Research Draft,/agent/output/2026-06-11T12-42_ai-governance-regulation-enterprise-accountability.md,Sector: All / Region: UK&Ireland + Europe + Africa,Governance / Trust & Risk,N/A,Duplicate run. Recommend archiving.
Research Draft — AI Governance (Run 6 of 8),Agent Research Draft,/agent/output/2026-06-11T14-50_ai-governance-regulation-enterprise-accountability.md,Sector: All / Region: UK&Ireland + Europe + Africa,Governance / Trust & Risk,N/A,Duplicate run. Recommend archiving.
Research Draft — AI Governance (Run 7 of 8),Agent Research Draft,/agent/output/2026-06-15T12-58_ai-governance-regulation-enterprise-accountability.md,Sector: All / Region: UK&Ireland + Europe + Africa,Governance / Trust & Risk,N/A,Duplicate run. Recommend archiving.
Research Draft — AI Governance (Run 8 of 8),Agent Research Draft,/agent/output/2026-06-15T13-21_ai-governance-regulation-enterprise-accountability.md,Sector: All / Region: UK&Ireland + Europe + Africa,Governance / Trust & Risk,N/A,Most recent duplicate run. This is the candidate to review and promote to Approvals.
Admin Dashboard,Admin Tool,/admin/index.html,Admin,N/A — Internal,N/A,Title: "Admin — The AI Readyist". H1: "Tools & agent configuration". No public taxonomy needed. Marked noindex by vercel.json.
Admin Login,Admin Tool,/admin/login.html,Admin,N/A — Internal,N/A,Auth gate. No public taxonomy needed.
Insight Approvals Interface,Admin Tool,/admin/approvals/index.html,Admin,N/A — Internal,N/A,Lists draft insights from Supabase for approve/reject. Includes Agent Run Dashboard section. No pillar display — pillar not stored in DB insights table.
